query_id,lora_id,rank
100404,71550,9
100404,142805,10
100404,14019,11
100404,87259,12
100404,134651,13
100404,98416,14
100404,67773,15
100404,90523,16
100404,58511,17
100404,132020,18
100404,138566,19
100404,85193,20
100404,183622,21
100404,26127,22
100404,57734,23
110539,115416,1
110539,70306,2
110539,13582,3
110539,116855,4
110539,91933,5
110539,217326,6
110539,67135,7
110539,158054,8
110539,195722,9
110539,234747,10
110539,22998,11
110539,9192,12
110539,104487,13
110539,63908,14
110539,190315,15
110539,37316,16
110539,54432,17
110539,143321,18
110539,53953,19
110539,34030,20
110539,208355,21
110539,45536,22
110539,112559,23
110539,205311,24
110539,51900,25
110539,27700,26
110539,207526,27
110539,107165,28
110539,28175,29
110539,96883,30
110539,64323,31
87259,27978,1
87259,57734,2
87259,142805,3
87259,90523,4
87259,104487,5
87259,95994,6
87259,36857,7
87259,235178,8
87259,100404,9
87259,94596,10
87259,97114,11
87259,18805,12
87259,134651,13
87259,69551,14
87259,98416,15
87259,67773,16
87259,132020,17
87259,77103,18
87259,17350,19
87259,58164,20
87259,26127,21
87259,105929,22
87259,57740,23
87259,138566,24
15924,97114,1
15924,6080,2
15924,14019,3
15924,94596,4
15924,58164,5
15924,33725,6
15924,13582,7
15924,63013,8
15924,36857,9
15924,19432,10
15924,69996,11
15924,23942,12
15924,9192,13
15924,98242,14
15924,16395,15
15924,50218,16
15924,105929,17
15924,57740,18
15924,56441,19
15924,52685,20
15924,48386,21
15924,154418,22
15924,98416,23
15924,19073,24
15924,67135,25
15924,60571,26
15924,25483,27
15924,54432,28
15924,153497,29
15924,42118,30
15924,205311,31
15924,55405,32
56441,235178,1
56441,67773,2
56441,16395,3
56441,154418,4
56441,17350,5
56441,84684,6
56441,49164,7
56441,45597,8
56441,90523,9
56441,208175,10
56441,19432,11
56441,109766,12
56441,17652,13
56441,58164,14
56441,60571,15
56441,70618,16
56441,53953,17
56441,190315,18
56441,95994,19
56441,153497,20
56441,6080,21
56441,14019,22
56441,132043,23
56441,51582,24
56441,42118,25
56441,25483,26
56441,50218,27
56441,15924,28
56441,114286,29
56441,20648,30
56441,98416,31
56441,83373,32
56441,79445,33
56441,98242,34
56441,51900,35
56441,55405,36
56441,112559,37
20648,58164,1
20648,45597,2
20648,63908,3
20648,208175,4
20648,234747,5
20648,134651,6
20648,90523,7
20648,49164,8
20648,90937,9
20648,114286,10
20648,91933,11
20648,190315,12
20648,52685,13
20648,153497,14
20648,56441,15
20648,51582,16
20648,116855,17
20648,196752,18
20648,89197,19
20648,79445,20
20648,70618,21
20648,112559,22
20648,233108,23
20648,48179,24
20648,50400,25
20648,25483,26
20648,64892,27
20648,107165,28
20648,96883,29
20648,26580,30
45597,90523,1
45597,48386,2
45597,20648,3
45597,49164,4
45597,84684,5
45597,208175,6
45597,190315,7
45597,51522,8
45597,20930,9
45597,9192,10
45597,83373,11
45597,69996,12
45597,114286,13
45597,79445,14
45597,56441,15
45597,51582,16
45597,88422,17
45597,132043,18
45597,55405,19
45597,48179,20
45597,126245,21
45597,105373,22
45597,91933,23
45597,70618,24
45597,8929,25
45597,64892,26
45597,233108,27
45597,112559,28
45597,51900,29
45597,25483,30
45597,126477,31
154418,83373,1
154418,51582,2
154418,234747,3
154418,183622,4
154418,17350,5
154418,58164,6
154418,181699,7
154418,18099,8
154418,22998,9
154418,56441,10
154418,6080,11
154418,27978,12
154418,190315,13
154418,78997,14
154418,208355,15
154418,153497,16
154418,104487,17
154418,85193,18
154418,53953,19
154418,25236,20
154418,16395,21
154418,19073,22
154418,110539,23
154418,10090,24
154418,17652,25
154418,208175,26
154418,98242,27
154418,15924,28
154418,45536,29
154418,42118,30
154418,180894,31
154418,55405,32
154418,104099,33
154418,205311,34
84684,190315,1
84684,142805,2
84684,104487,3
84684,6080,4
84684,14019,5
84684,18099,6
84684,56915,7
84684,208355,8
84684,96279,9
84684,87259,10
84684,85193,11
84684,37316,12
84684,74104,13
84684,51522,14
84684,50218,15
84684,134651,16
84684,138566,17
84684,17652,18
84684,105929,19
84684,183622,20
84684,49164,21
84684,36857,22
84684,23942,23
84684,57740,24
84684,45597,25
84684,18805,26
84684,26127,27
84684,181699,28
84684,105373,29
84684,51582,30
84684,16432,31
84684,58164,32
84684,64892,33
84684,180894,34
84684,153497,35
84684,67135,36
84684,51900,37
84684,205311,38
84684,96883,39
84684,104099,40
20930,153497,1
20930,13582,2
20930,94596,3
20930,58164,4
20930,17350,5
20930,183622,6
20930,87259,7
20930,9192,8
20930,67135,9
20930,208355,10
20930,70306,11
20930,18099,12
20930,100404,13
20930,18805,14
20930,134651,15
20930,57740,16
20930,50218,17
20930,14019,18
20930,96279,19
20930,190315,20
20930,69996,21
20930,27978,22
20930,205311,23
20930,138566,24
20930,63013,25
20930,90523,26
20930,181699,27
20930,180894,28
20930,208175,29
20930,97114,30
20930,154418,31
20930,98416,32
20930,54432,33
20930,51900,34
20930,34030,35
20930,96883,36
20930,27700,37
20930,48179,38
95994,100404,1
95994,19432,2
95994,94596,3
95994,142805,4
95994,87259,5
95994,235178,6
95994,6080,7
95994,97114,8
95994,69551,9
95994,50218,10
95994,132020,11
95994,105929,12
95994,57740,13
95994,17350,14
95994,67773,15
95994,138566,16
95994,134651,17
95994,14019,18
95994,90523,19
95994,98416,20
95994,183622,21
95994,85193,22
95994,57734,23
95994,26127,24
95994,91933,25
19432,94596,1
19432,95994,2
19432,69996,3
19432,69551,4
19432,105929,5
19432,132020,6
19432,97114,7
19432,235178,8
19432,134651,9
19432,16395,10
19432,67773,11
19432,49164,12
19432,56441,13
19432,17350,14
19432,36857,15
19432,87259,16
19432,57734,17
19432,60571,18
19432,57740,19
19432,85193,20
19432,63013,21
19432,15924,22
19432,18805,23
19432,138566,24
19432,90523,25
19432,77103,26
19432,33725,27
19432,6080,28
19432,98416,29
19432,26127,30
19432,19073,31
110331,96916,1
110331,53953,2
110331,208355,3
110331,155788,4
110331,98841,5
110331,101188,6
110331,17350,7
110331,107876,8
110331,58511,9
110331,18099,10
110331,154418,11
110331,97114,12
110331,37316,13
110331,10090,14
110331,24171,15
110331,85193,16
110331,235178,17
110331,69551,18
110331,115652,19
110331,100845,20
110331,58164,21
110331,33725,22
110331,99405,23
110331,94596,24
110331,132020,25
110331,110352,26
110331,63908,27
110331,98871,28
110331,78997,29
110331,152673,30
63908,89197,1
63908,91933,2
63908,102153,3
63908,154418,4
63908,98242,5
63908,217326,6
63908,37316,7
63908,54432,8
63908,24171,9
63908,74104,10
63908,45536,11
63908,23715,12
63908,20648,13
63908,110539,14
63908,67135,15
63908,53953,16
63908,195722,17
63908,158054,18
63908,10090,19
63908,70306,20
63908,27700,21
63908,116855,22
63908,34030,23
63908,205311,24
63908,11473,25
63908,22870,26
63908,207526,27
63908,107165,28
63908,28175,29
63908,23682,30
63908,33807,31
63908,41383,32
63908,75443,33
14019,27978,1
14019,142805,2
14019,20930,3
14019,134651,4
14019,91933,5
14019,94596,6
14019,138566,7
14019,153497,8
14019,97114,9
14019,6080,10
14019,183622,11
14019,104487,12
14019,18805,13
14019,114286,14
14019,100404,15
14019,208175,16
14019,18099,17
14019,105929,18
14019,9192,19
14019,95994,20
14019,13582,21
14019,23942,22
14019,181699,23
14019,53953,24
14019,67135,25
14019,63013,26
14019,54432,27
14019,90523,28
14019,98416,29
14019,26127,30
14019,205311,31
14019,180894,32
14019,48179,33
24171,56915,1
24171,115652,2
24171,17350,3
24171,71550,4
24171,190315,5
24171,96916,6
24171,101188,7
24171,37316,8
24171,88422,9
24171,110331,10
24171,110352,11
24171,27978,12
24171,10090,13
24171,98841,14
24171,95007,15
24171,13582,16
24171,19073,17
24171,208175,18
24171,67135,19
24171,63908,20
24171,91933,21
24171,109766,22
24171,23715,23
24171,34030,24
24171,205311,25
24171,11473,26
24171,25483,27
24171,22870,28
24171,104099,29
24171,96883,30
24171,27700,31
24171,191610,32
24171,23682,33
24171,33807,34
24171,75443,35
96916,115652,1
96916,101188,2
96916,99405,3
96916,98841,4
96916,85193,5
96916,107876,6
96916,100404,7
96916,24171,8
96916,69551,9
96916,110352,10
96916,9192,11
96916,155788,12
96916,132043,13
96916,110331,14
96916,235178,15
96916,56915,16
96916,132020,17
96916,58511,18
96916,57734,19
96916,71550,20
96916,98871,21
96916,105929,22
96916,6080,23
96916,58164,24
96916,16432,25
96916,100845,26
96916,152673,27
10090,110331,1
10090,37316,2
10090,13582,3
10090,85193,4
10090,183622,5
10090,98416,6
10090,95994,7
10090,53953,8
10090,57734,9
10090,190315,10
10090,18805,11
10090,155788,12
10090,87259,13
10090,100404,14
10090,208355,15
10090,94596,16
10090,18099,17
10090,96279,18
10090,14019,19
10090,97114,20
10090,54432,21
10090,142805,22
10090,8929,23
10090,154418,24
10090,104487,25
10090,109766,26
10090,57740,27
10090,78997,28
10090,58164,29
10090,105929,30
10090,19073,31
10090,100845,32
10090,70306,33
10090,153497,34
10090,67135,35
10090,25483,36
10090,51582,37
10090,34030,38
10090,27700,39
10090,104099,40
10090,96883,41
110352,98871,1
110352,107876,2
110352,99405,3
110352,69551,4
110352,235178,5
110352,96916,6
110352,18099,7
110352,69996,8
110352,24171,9
110352,132043,10
110352,110331,11
110352,98416,12
110352,6080,13
110352,58164,14
110352,101188,15
110352,85193,16
110352,58511,17
110352,98841,18
110352,97114,19
110352,155788,20
110352,100845,21
110352,208355,22
110352,126245,23
110352,152673,24
110352,29758,25
110352,205311,26
110352,80196,27
96279,208355,1
96279,190315,2
96279,98242,3
96279,36857,4
96279,69996,5
96279,155788,6
96279,17652,7
96279,138566,8
96279,9192,9
96279,84684,10
96279,23942,11
96279,95994,12
96279,142805,13
96279,18099,14
96279,14019,15
96279,105929,16
96279,104487,17
96279,18805,18
96279,13582,19
96279,6080,20
96279,53953,21
96279,20930,22
96279,50218,23
96279,57740,24
96279,37316,25
96279,183622,26
96279,67135,27
96279,26127,28
96279,51582,29
96279,54432,30
96279,180894,31
96279,153497,32
96279,10090,33
96279,16432,34
96279,91933,35
96279,34030,36
96279,51900,37
217326,116855,1
217326,107165,2
217326,195722,3
217326,70306,4
217326,98871,5
217326,153497,6
217326,17652,7
217326,67135,8
217326,143321,9
217326,205311,10
217326,158054,11
217326,54432,12
217326,53953,13
217326,20930,14
217326,112559,15
217326,37316,16
217326,34030,17
217326,64323,18
217326,63013,19
217326,208355,20
217326,207526,21
217326,190315,22
217326,22998,23
217326,13582,24
217326,45536,25
217326,9192,26
217326,53552,27
217326,110539,28
217326,96883,29
217326,51900,30
217326,27700,31
217326,191610,32
217326,48179,33
104487,95994,1
104487,97114,2
104487,208175,3
104487,190315,4
104487,14019,5
104487,36857,6
104487,91933,7
104487,9192,8
104487,153497,9
104487,84684,10
104487,87259,11
104487,13582,12
104487,180894,13
104487,132020,14
104487,57740,15
104487,50218,16
104487,19432,17
104487,18099,18
104487,142805,19
104487,138566,20
104487,105929,21
104487,23942,22
104487,96279,23
104487,53953,24
104487,20930,25
104487,6080,26
104487,26127,27
104487,183622,28
104487,57734,29
104487,67135,30
104487,37316,31
104487,54432,32
104487,98416,33
104487,205311,34
104487,51900,35
98416,10090,1
98416,97114,2
98416,90523,3
98416,85193,4
98416,87259,5
98416,100404,6
98416,77103,7
98416,17350,8
98416,138566,9
98416,104487,10
98416,6080,11
98416,57734,12
98416,235178,13
98416,142805,14
98416,134651,15
98416,132020,16
98416,95994,17
98416,67773,18
98416,94596,19
98416,69996,20
98416,69551,21
98416,36857,22
98416,27978,23
98416,57740,24
98416,105929,25
67773,97114,1
67773,69551,2
67773,235178,3
67773,132020,4
67773,19432,5
67773,18099,6
67773,100404,7
67773,183622,8
67773,181699,9
67773,138566,10
67773,134651,11
67773,57740,12
67773,90523,13
67773,87259,14
67773,57734,15
67773,105929,16
67773,77103,17
67773,17350,18
67773,95994,19
67773,85193,20
67773,58511,21
67773,98416,22
90937,95994,1
90937,142805,2
90937,94596,3
90937,69996,4
90937,104487,5
90937,49164,6
90937,14019,7
90937,71550,8
90937,19432,9
90937,16395,10
90937,114286,11
90937,208175,12
90937,96279,13
90937,63013,14
90937,26127,15
90937,105929,16
90937,45536,17
90937,95007,18
90937,57734,19
90937,50218,20
90937,25483,21
90937,91933,22
90937,152673,23
90937,70618,24
90937,51582,25
90937,45597,26
90937,15924,27
90937,23942,28
90937,42118,29
90937,20648,30
90937,85193,31
90937,58511,32
90937,64892,33
90937,100845,34
90937,79445,35
90937,126245,36
90937,23715,37
90937,89197,38
90937,126477,39
90937,55405,40
90937,75443,41
90937,23682,42
90937,26580,43
36857,9192,1
36857,104487,2
36857,50218,3
36857,87259,4
36857,69996,5
36857,94596,6
36857,97114,7
36857,132020,8
36857,19432,9
36857,155788,10
36857,13582,11
36857,95994,12
36857,142805,13
36857,98242,14
36857,57734,15
36857,14019,16
36857,18805,17
36857,105929,18
36857,6080,19
36857,16395,20
36857,58164,21
36857,57740,22
36857,85193,23
36857,98416,24
36857,60571,25
36857,15924,26
36857,48386,27
36857,33725,28
36857,101188,29
36857,52685,30
36857,19073,31
36857,63013,32
36857,153497,33
36857,205311,34
36857,8929,35
